Time_sec,Load_kN,EXT TR 25_mm,EXT TR 12.5_mm,Displacement_mm,SP-Actuator #01_mm,SV-Actuator #01_,CY-Actuator #01_,
15.331,2.077,26.326,0.000,0.346,-22.259,-22.259,0.000
15.464,2.119,26.326,0.000,0.350,-22.255,-22.255,0.000
15.597,2.161,26.325,0.000,0.353,-22.252,-22.252,0.000
15.731,2.201,26.325,0.000,0.356,-22.249,-22.249,0.000
15.864,2.242,26.326,0.000,0.360,-22.245,-22.245,0.000
15.997,2.284,26.326,0.000,0.363,-22.242,-22.242,0.000
16.131,2.327,26.326,0.000,0.366,-22.239,-22.239,0.000
16.264,2.368,26.325,0.000,0.370,-22.235,-22.235,0.000
16.397,2.401,26.326,0.000,0.373,-22.232,-22.232,0.000
16.530,2.405,26.326,0.000,0.376,-22.229,-22.229,0.000
16.664,2.442,26.325,0.000,0.380,-22.225,-22.225,0.000
16.797,2.478,26.326,0.000,0.383,-22.222,-22.222,0.000
16.930,2.513,26.326,0.000,0.386,-22.219,-22.219,0.000
17.064,2.548,26.326,0.000,0.390,-22.215,-22.215,0.000
17.197,2.581,26.325,0.000,0.393,-22.212,-22.212,0.000
17.330,2.613,26.325,0.000,0.396,-22.209,-22.209,0.000
17.464,2.645,26.326,0.000,0.400,-22.205,-22.205,0.000
17.597,2.677,26.325,0.000,0.403,-22.202,-22.202,0.000
17.730,2.709,26.325,0.000,0.406,-22.199,-22.199,0.000
17.864,2.739,26.326,0.000,0.410,-22.195,-22.195,0.000
17.997,2.769,26.325,0.000,0.413,-22.192,-22.192,0.000
18.130,2.798,26.325,0.000,0.416,-22.189,-22.189,0.000
18.264,2.828,26.326,0.000,0.420,-22.185,-22.185,0.000
18.397,2.856,26.325,0.000,0.423,-22.182,-22.182,0.000
18.530,2.884,26.325,0.000,0.426,-22.179,-22.179,0.000
18.663,2.909,26.325,0.000,0.430,-22.175,-22.175,0.000
18.797,2.933,26.326,0.000,0.433,-22.172,-22.172,0.000
18.930,2.957,26.326,0.000,0.436,-22.169,-22.169,0.000
